Itérations,Gaussien (mm),Contour,Déviation standard (BQML),Moyenne (BQML),Volume (ml)
3,0,Fond 1,91.61,1552.59,13.55
3,0,Fond 2,70.31,1503.16,13.53
3,0,Fond 3,64.6,1510.38,13.52
3,0,Fond Foie,149.22,3791.62,13.59
3,0,Moyenne Fond,75.50666666666666,1522.0433333333333,13.533333333333333
3,0,T Foie,1080.47,7416.76,0.25
3,0,T Rachis,1536.77,4698.13,0.23
3,0,T1,2374.84,6514.76,0.34
3,0,T2,1880.71,3734.27,0.25
3,0,T3,882.84,3540.46,0.19
3,0,T4,397.92,2708.16,0.06
3,2,Fond 1,76.95,1552.55,13.55
3,2,Fond 2,60.45,1502.97,13.53
3,2,Fond 3,55.09,1510.43,13.52
3,2,Fond Foie,126.02,3791.5,13.59
3,2,Moyenne Fond,64.16333333333334,1521.9833333333333,13.533333333333333
3,2,T Foie,958.89,7183.75,0.25
3,2,T Rachis,1307.8,4443.73,0.23
3,2,T1,2025.7,6175.9,0.34
3,2,T2,1618.9,3584.71,0.25
3,2,T3,710.55,3355.8,0.19
3,2,T4,320.75,2599.61,0.06
3,4,Fond 1,49.61,1552.43,13.55
3,4,Fond 2,41.5,1502.48,13.53
3,4,Fond 3,37.62,1510.52,13.52
3,4,Fond Foie,82.64,3790.64,13.59
3,4,Moyenne Fond,42.91,1521.8100000000002,13.533333333333333
3,4,T Foie,654.05,6523.5,0.25
3,4,T Rachis,791.99,3744.7,0.23
3,4,T1,1228.58,5214.24,0.34
3,4,T2,1022.18,3160.06,0.25
3,4,T3,371.23,2865.87,0.19
3,4,T4,173.49,2323.27,0.06
4,0,Fond 1,114.76,1548.83,13.55
4,0,Fond 2,87.49,1504.1,13.53
4,0,Fond 3,80.57,1511.33,13.52
4,0,Fond Foie,187.26,3790.91,13.59
4,0,Moyenne Fond,94.27333333333333,1521.42,13.533333333333333
4,0,T Foie,1335.48,7972.97,0.25
4,0,T Rachis,2013.91,5490.15,0.23
4,0,T1,2720.87,6927.82,0.34
4,0,T2,2208.0,3998.71,0.25
4,0,T3,1121.87,3848.79,0.19
4,0,T4,494.41,2865.61,0.06
4,2,Fond 1,95.27,1548.75,13.55
4,2,Fond 2,74.31,1503.84,13.53
4,2,Fond 3,67.78,1511.38,13.52
4,2,Fond Foie,156.25,3790.76,13.59
4,2,Moyenne Fond,79.12,1521.3233333333335,13.533333333333333
4,2,T Foie,1177.56,7691.32,0.25
4,2,T Rachis,1697.15,5163.15,0.23
4,2,T1,2309.67,6551.14,0.34
4,2,T2,1883.34,3825.39,0.25
4,2,T3,889.13,3626.39,0.19
4,2,T4,392.67,2733.54,0.06
4,4,Fond 1,59.45,1548.55,13.55
4,4,Fond 2,49.41,1503.19,13.53
4,4,Fond 3,44.46,1511.5,13.52
4,4,Fond Foie,99.02,3789.7,13.59
4,4,Moyenne Fond,51.10666666666666,1521.08,13.533333333333333
4,4,T Foie,787.88,6899.11,0.25
4,4,T Rachis,998.9,4272.84,0.23
4,4,T1,1380.29,5485.83,0.34
4,4,T2,1161.22,3337.48,0.25
4,4,T3,444.12,3040.59,0.19
4,4,T4,204.09,2405.8,0.06
5,0,Fond 1,136.36,1547.5,13.55
5,0,Fond 2,103.19,1504.37,13.53
5,0,Fond 3,95.29,1511.2,13.52
5,0,Fond Foie,222.45,3792.34,13.59
5,0,Moyenne Fond,111.61333333333334,1521.0233333333333,13.533333333333333
5,0,T Foie,1529.02,8354.19,0.25
5,0,T Rachis,2336.73,5989.78,0.23
5,0,T1,2923.25,7149.76,0.34
5,0,T2,2422.92,4157.71,0.25
5,0,T3,1321.39,4062.18,0.19
5,0,T4,575.6,2974.06,0.06
5,2,Fond 1,112.1,1547.38,13.55
5,2,Fond 2,86.72,1504.05,13.53
5,2,Fond 3,79.25,1511.25,13.52
5,2,Fond Foie,183.64,3792.19,13.59
5,2,Moyenne Fond,92.69,1520.8933333333334,13.533333333333333
5,2,T Foie,1342.35,8036.52,0.25
5,2,T Rachis,1957.41,5613.43,0.23
5,2,T1,2475.64,6750.84,0.34
5,2,T2,2053.47,3969.03,0.25
5,2,T3,1034.94,3811.56,0.19
5,2,T4,451.31,2822.24,0.06
5,4,Fond 1,68.08,1547.08,13.55
5,4,Fond 2,56.07,1503.24,13.53
5,4,Fond 3,50.24,1511.38,13.52
5,4,Fond Foie,112.71,3790.99,13.59
5,4,Moyenne Fond,58.129999999999995,1520.5666666666666,13.533333333333333
5,4,T Foie,886.65,7147.86,0.25
5,4,T Rachis,1132.54,4594.76,0.23
5,4,T1,1468.73,5626.15,0.34
5,4,T2,1245.93,3440.58,0.25
5,4,T3,500.28,3154.07,0.19
5,4,T4,226.62,2453.0,0.06
6,0,Fond 1,156.66,1547.09,13.55
6,0,Fond 2,117.84,1504.57,13.53
6,0,Fond 3,109.08,1510.9,13.52
6,0,Fond Foie,255.59,3794.05,13.59
6,0,Moyenne Fond,127.86,1520.8533333333332,13.533333333333333
6,0,T Foie,1675.96,8623.9,0.25
6,0,T Rachis,2548.54,6304.05,0.23
6,0,T1,3046.61,7284.02,0.34
6,0,T2,2568.85,4260.73,0.25
6,0,T3,1489.77,4218.74,0.19
6,0,T4,647.39,3059.43,0.06
6,2,Fond 1,127.66,1546.95,13.55
6,2,Fond 2,98.12,1504.18,13.53
6,2,Fond 3,89.84,1510.94,13.52
6,2,Fond Foie,209.06,3793.9,13.59
6,2,Moyenne Fond,105.20666666666666,1520.6899999999998,13.533333333333333
6,2,T Foie,1466.9,8279.09,0.25
6,2,T Rachis,2126.79,5894.4,0.23
6,2,T1,2577.22,6870.55,0.34
6,2,T2,2166.76,4061.7,0.25
6,2,T3,1155.77,3946.47,0.19
6,2,T4,501.79,2890.17,0.06
6,4,Fond 1,75.67,1546.55,13.55
6,4,Fond 2,61.88,1503.22,13.53
6,4,Fond 3,55.28,1511.07,13.52
6,4,Fond Foie,124.75,3792.6,13.59
6,4,Moyenne Fond,64.27666666666667,1520.28,13.533333333333333
6,4,T Foie,960.39,7318.86,0.25
6,4,T Rachis,1217.63,4790.68,0.23
6,4,T1,1523.8,5708.12,0.34
6,4,T2,1299.9,3506.12,0.25
6,4,T3,544.41,3233.87,0.19
6,4,T4,244.5,2485.37,0.06
